keys,zh_TW,zh_CN,en
APP_TITLE,命運的彈珠倖存者,,
APP_SUBTITLE,升級時用彈珠台決定獲得的武器或能力 / 支援單機雙人,,
MAIN_BTN_SOLO,單人戰鬥,,
MAIN_BTN_DUO,雙人戰鬥,,
MAIN_BTN_VILLAGE,進入村莊,,
MAIN_BTN_QUIT,離開,,
MAIN_GOLD_FMT,金幣 %d,,
STAGE_SELECT_TITLE,選擇關卡,,
STAGE_SELECT_DEPART,出發,,
STAGE_SELECT_BACK,← 返回選角,,
STAGE_SELECT_HINT,← / →：切換關卡　　Enter / Space：出發　　ESC：返回選角,,
STAGE_SELECT_BOSS_FMT,頭目：%s,,
STAGE_SELECT_REWARD_FMT,勝利獎勵：%d 金幣,,
STAGE_SELECT_RESCUE_BLACKSMITH,特殊獎勵：解救鐵匠,,
STAGE_SELECT_RESCUE_BLACKSMITH_DONE,特殊獎勵：鐵匠已解救,,
STAGE_SELECT_RESCUE_MERCHANT,特殊獎勵：解救雜貨商,,
STAGE_SELECT_RESCUE_MERCHANT_DONE,特殊獎勵：雜貨商已解救,,
STAGE_SELECT_EVENT_ARMAMENT_BOOK,特殊獎勵：完成偶發事件可獲得本關武裝製作書（尚未取得者）,,
STAGE_SELECT_EVENT_ARMAMENT_BOOK_DONE,特殊獎勵：武裝製作書已全數取得,,
MAIN_FOOTER,P1: WASD 移動  Space 確認  Q 取消    P2: 方向鍵 移動  Enter 確認  RShift 取消,,
VPICKER_TITLE,進入村莊 — 選擇人數,,
VPICKER_SOLO,單人,,
VPICKER_DUO,雙人,,
VPICKER_CANCEL,取消,,
SETTINGS_TITLE,設定,,
SETTINGS_TOUCH_CONTROLS,觸控操作,,
SETTINGS_TOUCH_HINT,在手機 / 網頁版顯示虛擬搖桿與按鈕；戰鬥、彈珠台與村莊都可用螢幕按鍵操作。,,
SETTINGS_ACCOUNT_TITLE,帳號 / 測試,,
SETTINGS_UNLOCK_ALL,全角色解鎖,,
SETTINGS_UNLOCK_ALL_DONE,已解鎖全部角色,,
SETTINGS_UNLOCK_WEAPONS,解鎖武器與格子,,
SETTINGS_UNLOCK_WEAPONS_DONE,已解鎖武器與格子,,
SETTINGS_UNLOCK_MONSTERS,怪物圖鑑全解鎖,,
SETTINGS_UNLOCK_MONSTERS_DONE,已解鎖全部怪物圖鑑,,
SETTINGS_UNLOCK_ARMAMENTS,全武裝解鎖,,
SETTINGS_UNLOCK_ARMAMENTS_DONE,已解鎖全部武裝,,
SETTINGS_ADD_GOLD,金錢 +5000,,
SETTINGS_MAX_TEAM_WEAPONS,全隊伍武器滿級,,
SETTINGS_MAX_TEAM_WEAPONS_DONE,全隊伍武器已滿級,,
SETTINGS_MAX_TEAM_WEAPONS_NONE,目前沒有武器可滿級,,
SETTINGS_RESET_ACCOUNT,重置帳號,,
SETTINGS_RESET_ACCOUNT_CONFIRM,再按一次確認重置,,
SETTINGS_CLOSE,關閉,,
ACHIEVEMENTS_BUTTON,成就,,
ACHIEVEMENTS_TITLE_FMT,成就 %d / %d,,
ACHIEVEMENTS_CLOSE,關閉,,
ACHIEVEMENTS_HINT,成就進度會跨場次累積，達標後自動解鎖角色。,,
ACHIEVEMENTS_DONE,[已完成],,
ACHIEVEMENTS_PROGRESS_FMT,[%d / %d],,
ITEMS_BUTTON,物品,,
ITEMS_TITLE,物品,,
ITEMS_CLOSE,關閉,,
ITEMS_GOLD_FMT,[color=#ffd24d]金錢[/color]  %d,,
ITEMS_RUNE_DUST_FMT,[color=#c993ff]符文粉塵[/color]  %d,,
ITEMS_FORGING_MATERIALS,鍛造素材,,
ITEMS_MATERIAL_FMT,%s  %d,,
CODEX_BUTTON,圖鑑,,
CODEX_TITLE,冒險圖鑑,,
CODEX_CLOSE,關閉圖鑑,,
CODEX_TAB_CHARACTERS,角色,,
CODEX_TAB_WEAPONS,武器,,
CODEX_TAB_ABILITIES,能力,,
CODEX_TAB_ARMAMENTS,武裝,,
CODEX_TAB_MONSTERS,怪物,,
CODEX_STATUS_UNLOCKED,[已解鎖],,
CODEX_STATUS_LOCKED,[未解鎖],,
CODEX_FIRST_VERSION_NOTE,第一版先整理角色與武器；怪物圖鑑已收錄戰鬥資料（頭像為 IDLE1 裁切）。能力與武裝分頁仍會持續補完。,,
CODEX_CHARACTERS_SUMMARY_FMT,角色解鎖：%d / %d,,
CODEX_CHARACTER_STATS_FMT,基礎數值：HP %d　ATK %d　DEF %d　SPD %.1f,,
CODEX_CHARACTER_START_WEAPON_FMT,初始武器：%s,,
CODEX_CHARACTER_PASSIVES_FMT,可用被動：%s,,
CODEX_CHARACTER_SKILLS_FMT,可用技能：%s,,
CODEX_CHARACTER_SKIN_FMT,造型：%s,,
CODEX_DETAIL_PASSIVE_TITLE,被動,,
CODEX_DETAIL_SKILL_TITLE,技能,,
CODEX_DETAIL_CLOSE,關閉,,
CODEX_DETAIL_COOLDOWN_FMT,冷卻時間：%.1f 秒,,
CODEX_DETAIL_PARAMS_TITLE,詳細參數：,,
CODEX_LOCKED_CHARACTER_HINT,尚未解鎖。達成成就或後續條件後會顯示完整資料。,,
CODEX_SKIN_DEFAULT,預設造型,,
